ISPREMIER,AGE21PLUSINDICATOR,AGE18TO21INDICATOR,AGE13TO18INDICATOR,GENDERCODE,BIRTHDATE,LOYALTYEMAILOFFEROPTININDICATOR,REWARDSEMAILOPTININDICATOR,REWARDSMOBILEOPTININDICATOR,REWARDSSMSOPTININDICATOR,THEATREMOBILEOFFEROPTININDICATOR,THEATRESMSOFFEROPTININDICATOR,LIFETIMEAWARDSEARNEDAMOUNT,LIFETIMESPENDAMOUNT,ONLINEFEESWAIVEDAMOUNT,ESTIMATEDINCOMERANGE,ESTIMATEDHOMEMARKETVALUERANGE,CHILDRENPRESENCE,HASFREQUENTVISITTHEATRENUMBER,TICKETQTYSUM,TICKETBALANCEDUESUM,CONCQTYSUM,CONCLOYDISCOUNTAMTSUM,CONCBALANCEDUESUM
1,0,0,0,0,1/26/2016,1,1,0,0,0,0,0,0,0,8,19,0,0,2,29.58,0,0,0
1,0,0,1,3,1/1/2001,1,1,1,0,1,0,5,-63.04,0,8,19,3,1,20,191.9,0,0,0
1,1,0,0,0,11/2/1953,1,1,0,0,0,0,0,34,10,8,19,1,0,16,192.84,1,-8.49,0
0,1,0,0,0,5/18/1962,0,0,0,0,0,0,0,0,0,8,19,1,0,0,0,1,0,0
1,1,0,0,0,10/2/1965,0,0,0,0,0,0,0,12.08,5,8,19,3,1,10,101.2,0,0,0
0,1,0,0,0,8/7/1968,0,0,0,0,0,0,40,412.15,18.5,8,19,1,1,2,19.48,2,0,13.34
0,1,0,0,0,11/13/1991,0,0,0,0,0,0,0,1.36,1.25,8,19,0,0,1,6.79,0,0,0
0,1,0,0,1,8/23/1962,1,1,0,0,0,0,30,312.4,9,8,19,1,0,4,40.66,0,0,0
0,1,0,0,1,8/13/1967,1,1,0,0,0,0,0,16.18,5,8,19,0,0,4,41.46,13,-8.09,77.38
1,1,0,0,1,12/13/1967,1,1,1,0,1,0,0,0,0,8,19,1,0,3,38.97,2,0,5.64
0,1,0,0,1,4/1/1976,1,1,0,0,0,0,0,0,0,8,19,3,0,0,0,0,0,0
0,1,0,0,3,6/20/1950,1,1,1,0,1,0,0,3.8,0,8,19,0,1,2,18.98,0,0,0
0,1,0,0,3,8/21/1951,1,1,0,0,0,0,0,3.78,0,8,19,1,0,3,18.87,0,0,0
0,1,0,0,3,8/30/1961,1,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0
0,1,0,0,3,9/17/1961,1,1,0,0,0,0,0,13.1,3.75,8,19,1,1,5,68.05,0,0,0
1,1,0,0,3,12/31/1964,1,1,1,0,1,0,130,1326.5,57.5,8,19,1,0,11,144.89,2,0,27.48
0,1,0,0,3,6/6/1970,1,1,0,0,0,0,0,7.06,0,8,19,3,0,0,0,7,0,36.53
0,1,0,0,3,12/25/1970,1,1,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0
0,1,0,0,3,12/13/1972,0,0,0,0,,0,0,0,0,8,19,0,0,0,0,0,0,0
1,1,0,0,3,9/8/1973,1,1,0,0,,0,0,6.6,2.5,8,19,0,0,5,83.95,0,0,0
0,1,0,0,3,4/1/1975,1,1,0,0,,0,0,7.8,0,8,19,1,0,5,38.95,0,0,0
0,1,0,0,3,7/16/1975,1,1,0,0,0,0,0,5.2,2.5,8,19,0,0,2,25.98,0,0,0
0,1,0,0,3,7/7/1978,1,1,0,0,0,0,0,2.48,0,8,19,1,0,1,6.29,1,0,6.09
0,1,0,0,3,4/15/1983,0,1,0,0,0,0,20,245.27,8,8,19,3,0,0,0,0,0,0
0,1,0,0,3,4/21/1978,0,1,0,0,0,0,0,2,1.25,2,19,3,1,1,10.87,0,0,0
0,1,0,0,3,10/1/1980,0,0,0,0,0,0,0,0,0,2,19,1,1,2,34.98,0,0,0
0,1,0,0,0,8/21/1986,1,1,1,0,1,0,0,10.12,0,3,19,0,1,2,25.58,0,0,0
0,1,0,0,0,5/28/1988,1,1,0,0,0,0,0,21.2,5,3,19,0,0,4,55.96,0,0,0
0,1,0,0,0,6/23/1989,1,1,0,0,0,0,0,0,0,3,19,3,0,0,0,0,0,0
0,1,0,0,1,9/9/1977,0,0,0,0,1,0,0,4.6,0,3,19,0,1,2,22.98,0,0,0
0,1,0,0,1,2/3/1963,0,0,0,0,0,0,0,-9.04,1.25,4,19,1,0,1,15.22,1,0,5.98
0,1,0,0,1,9/9/1966,0,1,0,0,0,0,0,0,0,4,19,3,0,0,0,0,0,0
1,1,0,0,3,1/23/1955,0,0,1,0,1,0,250,2503.2,123,4,19,1,1,8,126.72,0,0,0
1,1,0,0,3,6/15/1964,1,0,1,0,1,0,252.25,2180.44,16.75,4,19,0,0,14,243.26,4,-2.41,25.06
0,1,0,0,3,3/25/1976,0,0,0,0,0,0,75,703.27,1.25,4,19,1,1,12,120.87,0,0,0
0,1,0,0,0,8/4/1945,1,1,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0
1,1,0,0,3,9/24/1949,1,1,1,0,1,0,30,174.98,20.25,5,19,0,0,18,158.25,6,0,35.16
1,1,0,0,3,4/18/1975,0,1,1,0,1,0,155,1405.68,7.5,5,19,1,0,6,94.1,10,-3.5,55
1,1,0,0,3,5/22/1991,1,1,1,0,1,0,0,4.82,0,5,19,3,0,6,64.86,3,-1.5,20.76
0,0,0,1,0,11/23/1998,0,1,0,0,0,0,0,8.1,1.25,6,19,1,0,1,15.49,0,0,0
0,0,1,0,3,6/28/1998,1,1,0,0,0,0,0,0,0,6,19,3,0,0,0,0,0,0
0,1,0,0,0,2/7/1948,0,0,0,0,0,0,0,26.8,7.5,6,19,0,1,6,83.94,0,0,0
0,1,0,0,0,12/3/1963,1,1,0,0,0,0,0,0,0,6,19,3,0,0,0,0,0,0
0,1,0,0,0,12/14/1970,0,0,0,0,0,0,0,16,5,6,19,3,0,4,79.96,0,0,0
0,1,0,0,0,5/10/1977,1,1,0,0,0,0,20,210.8,0,6,19,3,0,2,28.98,0,0,0
0,1,0,0,1,2/24/1973,1,1,0,0,0,0,5,52.66,4,6,19,1,1,18,307.34,18,0,45.51
0,1,0,0,1,5/16/1978,0,0,0,0,0,0,275,2639.04,74.5,6,19,3,1,10,151.78,38,0,186.45
0,1,0,0,3,6/13/1950,1,1,1,0,1,0,0,13.34,0,6,19,0,1,2,13.98,5,0,29.52
0,1,0,0,3,8/2/1956,1,1,0,0,1,0,0,15.28,0,6,19,0,1,4,49.96,7,0,49.12
1,1,0,0,3,6/22/1961,1,1,0,0,0,0,440,4325.48,0,6,19,0,0,19,226.82,17,-6,117.1
0,1,0,0,3,6/4/1962,1,1,1,0,1,0,0,9.55,0,6,19,0,1,7,63.51,0,0,0
0,1,0,0,3,2/2/1963,1,1,0,0,0,0,0,12.6,2,6,19,0,0,2,38,0,0,0
1,1,0,0,3,7/18/1966,1,1,1,0,1,0,133,1253.93,0,6,19,0,1,12,140.08,33,-5.5,202.75
0,1,0,0,3,3/12/1969,0,0,0,0,0,0,0,14.6,5,6,19,1,0,4,47.96,0,0,0
0,1,0,0,3,4/23/1972,1,1,0,0,0,0,0,0,0,6,19,3,0,0,0,0,0,0
0,1,0,0,3,7/29/1975,0,0,0,0,0,0,0,0,0,6,19,1,0,0,0,0,0,0
0,1,0,0,3,8/3/1976,1,1,0,0,0,0,90,806.4,21,6,19,3,0,2,31.98,0,0,0
0,1,0,0,3,11/23/1980,1,1,0,0,0,0,0,4.44,0,6,19,0,0,2,22.18,0,0,0
0,1,0,0,3,10/31/1984,1,1,0,0,0,0,0,12.8,3.75,6,19,1,0,3,38.97,0,0,0
1,1,0,0,3,7/19/1985,1,1,1,0,1,0,45,418.36,1,6,19,3,0,5,80.95,8,-2.5,51.33
1,1,0,0,3,7/29/1989,0,0,1,0,1,0,0,0,0,6,19,1,0,0,0,2,0,12.72
0,1,0,0,3,7/31/1990,0,0,0,0,0,0,0,29.56,0,6,19,1,1,5,78.55,3,0,20.87
1,1,0,0,0,10/3/1955,1,1,0,0,0,0,0,30.77,5,7,19,0,0,8,75.08,13,-1,70.94
1,1,0,0,0,2/14/1963,0,0,1,0,1,0,125,1223.05,50,7,19,1,0,10,168.1,11,-2,60.23
